BOP,Bird Love Score [<3]
2,68.59
3,25.14
19,71.29
22,75.31
24,79.72
26,62.4
45,26.92
66,64.27
72,76.89
87,34.78
93,15.67
108,34.62
113,73.49
115,11.76
141,42.9
151,49.91
165,10.83
173,69.06
182,75.25
183,39.95
189,38.91
222,29.32
235,81.1
239,71.94
289,50.45
293,63.71
316,62.35
317,73.56
329,17.63
342,10.94
343,36.26
348,87.62
354,40.73
369,7.32
381,89.2
393,25.14
402,21.81
411,26.41
427,17.37
468,53.92
476,36.27
495,66.59
496,40.51
502,19.74
518,44.66
569,24.99
570,33.49
598,38.44
606,44.04
632,18.7
637,79.37
664,45.74
667,11.98
680,46.54
700,23.93
704,30.65
728,49.22
736,85.77
738,45.76
748,38.0
752,63.49
765,33.89
767,89.52
772,77.91
797,20.26
803,28.12
820,54.57
821,48.35
823,10.85
828,38.43
835,17.99
843,34.13
871,68.28
873,18.19
876,8.68
881,44.57
891,59.14
894,79.5
899,87.66
902,26.12
912,46.64
930,24.96
934,84.83
938,56.97
942,32.2
955,42.95
960,37.58
965,10.33
981,55.41
1023,46.03
1040,15.16
1055,42.94
1067,45.54
1104,41.08
1137,19.92
1198,25.58
1222,65.69
1232,21.75
1235,39.05
1253,41.19
1261,35.32
1263,18.42
1272,25.57
1295,76.01
1296,42.33
1297,67.79
1319,8.21
1322,24.22
1328,21.62
1379,32.44
1423,35.78
1453,21.34
1461,12.82
1485,38.22
1491,35.85
1541,45.79
1545,42.98
1548,45.9
1606,13.5
1613,33.27
1614,16.53
1617,45.74
1627,79.4
1642,31.55
1651,72.25
1668,41.66
1687,40.3
1711,20.69
1730,36.44
1738,17.65
1745,16.13
1752,37.41
1754,21.95
1755,29.17
1763,49.81
1770,20.6
1788,25.24
1791,47.23
1799,61.34
1824,45.83
1855,45.8
1856,71.17
1864,34.81
1898,27.49
1901,22.03
1920,22.2
1924,19.31
1927,9.8
1951,9.61
1952,37.36
1961,52.41
1978,61.87
2024,48.84
2039,28.32
2057,75.91
2066,45.42
2071,53.45
2072,8.77
2078,13.68
2136,21.48
2145,38.63
2149,32.21
2154,40.94
2161,44.99
2164,28.88
2165,26.19
2175,15.47
2182,35.24
2185,30.87
2222,15.02
2232,25.9
2256,66.49
2267,81.49
2283,33.44
2285,21.67
2292,38.92
2308,46.49
2309,48.02
2333,25.36
2341,85.87
2346,48.58
2356,45.34
2360,38.51
2364,16.79
2382,17.76
2389,34.26
2391,38.22
2408,57.09
2414,26.17
2428,68.89
2439,44.65
2446,26.11
2464,7.3
2469,26.16
2470,42.17
2473,45.54
2479,55.59
2480,27.49
2490,40.65
2498,68.96
