BOP,Bird Love Score [<3]
1,53.36
25,71.05
29,10.49
35,75.92
47,67.36
74,36.23
80,9.16
101,33.65
136,20.13
142,78.26
148,66.36
155,21.86
162,16.48
169,72.27
228,26.43
272,89.86
275,67.15
286,52.76
291,53.05
322,19.89
339,52.99
341,42.91
361,71.42
363,84.23
380,55.08
424,64.6
505,13.35
529,51.42
538,6.89
559,66.35
577,40.12
582,54.48
591,76.05
600,78.43
601,57.33
617,6.78
625,52.22
635,25.52
640,62.15
677,76.28
688,60.14
701,32.81
702,64.32
733,46.9
739,67.66
745,80.8
746,66.45
747,68.97
763,51.87
768,12.69
773,54.19
784,8.07
795,60.08
802,65.44
812,52.99
819,79.27
829,62.36
869,82.14
878,75.27
887,53.54
890,73.94
911,59.79
916,72.29
928,73.05
950,42.45
954,65.21
992,22.0
994,58.97
1003,60.53
1008,68.03
1010,8.33
1012,65.05
1021,71.93
1030,81.13
1041,85.52
1042,53.22
1044,65.65
1045,86.36
1061,27.34
1075,71.57
1077,25.59
1092,80.72
1094,74.58
1112,72.83
1120,81.14
1128,86.44
1134,29.85
1154,39.31
1160,25.55
1168,76.57
1178,47.01
1217,44.03
1256,16.49
1257,74.54
1259,86.68
1287,30.6
1312,80.76
1320,54.96
1326,20.58
1338,50.41
1364,64.61
1366,68.39
1375,70.9
1376,26.41
1413,86.54
1418,67.46
1439,68.66
1455,44.09
1492,64.03
1501,70.75
1502,41.67
1505,53.56
1515,76.68
1523,34.19
1544,22.87
1553,83.68
1566,84.8
1584,61.29
1615,73.55
1646,54.52
1652,78.12
1669,53.79
1673,23.83
1683,56.41
1700,21.04
1706,16.54
1710,53.52
1735,38.26
1739,42.28
1748,77.04
1776,80.4
1781,81.32
1784,80.72
1805,70.48
1831,82.41
1862,60.64
1870,73.04
1871,60.92
1874,24.12
1877,55.11
1900,73.69
1904,59.53
1914,60.45
1916,52.8
1917,44.55
1921,18.48
1922,74.24
1925,59.15
1930,35.91
1939,53.07
1945,51.32
1960,49.19
1979,22.55
1992,53.61
1999,62.69
2002,86.06
2011,21.94
2012,76.66
2019,26.48
2036,87.05
2047,52.73
2048,72.5
2082,56.67
2086,70.12
2087,52.43
2094,68.09
2101,71.52
2104,87.04
2119,60.11
2127,10.05
2129,37.31
2138,50.74
2142,42.48
2151,82.99
2169,9.67
2174,75.17
2180,61.38
2190,66.47
2193,81.62
2197,21.5
2202,82.7
2203,35.31
2208,69.29
2214,69.34
2218,12.1
2249,54.91
2288,11.9
2314,24.26
2322,68.15
2330,25.67
2337,28.89
2369,71.32
2406,76.04
2417,52.62
2430,24.69
2443,79.6
2447,77.38
2456,34.73
2458,6.08
2491,18.21
