BOP,Bird Love Score [<3]
118,39.86
188,55.48
196,45.01
220,44.74
242,41.18
282,54.55
300,49.4
307,61.36
320,60.76
340,43.12
352,56.25
376,35.48
417,44.46
447,30.55
452,48.98
494,52.37
636,45.63
671,56.9
682,41.23
685,60.44
697,40.88
698,39.05
782,45.41
810,51.04
818,37.9
849,59.83
968,48.58
1019,59.9
1035,34.58
1047,41.28
1078,47.76
1101,57.94
1139,52.25
1143,62.65
1146,44.5
1212,48.86
1248,60.46
1265,51.54
1274,32.18
1288,56.01
1350,47.77
1354,61.92
1362,46.35
1383,54.49
1397,44.01
1435,48.88
1447,49.69
1464,32.91
1477,51.59
1482,60.09
1535,54.63
1539,31.61
1556,61.07
1563,46.12
1576,38.19
1577,30.51
1587,42.14
1661,64.03
1713,49.05
1803,52.98
1804,40.28
1838,46.05
1847,43.13
1850,47.37
1907,37.29
1948,40.79
1972,43.77
1976,50.62
1988,30.78
1994,46.12
2022,37.84
2028,53.53
2035,61.02
2074,52.02
2076,40.11
2088,30.37
2139,43.59
2199,36.45
2212,47.88
2242,61.24
2266,46.07
2272,47.22
2273,58.73
2301,36.68
2302,52.56
2320,61.72
2325,33.76
2352,39.55
2393,39.62
2398,43.54
2403,36.97
2407,60.93
2413,60.6
2420,52.08
2425,59.29
2441,35.32
2448,33.29
2450,35.81
2477,60.67
2494,47.73
