Flock ID,Species
8,Flanking Blackfinch
10,Red Firefinch
15,Flanking Blackfinch
16,Medieval Bluetit
21,Medieval Bluetit
25,Hurracurra Bird
38,Red Firefinch
42,Flanking Blackfinch
45,Red Firefinch
48,Sticky Wolfthroat
69,Hurracurra Bird
70,Red Firefinch
78,Rusty Goldhammer
85,Hurracurra Bird
87,Sticky Wolfthroat
101,Flanking Blackfinch
108,Medieval Bluetit
113,Hurracurra Bird
121,Hurracurra Bird
126,Sticky Wolfthroat
128,Flanking Blackfinch
130,Red Firefinch
131,Medieval Bluetit
135,Flanking Blackfinch
136,Sticky Wolfthroat
138,Rusty Goldhammer
143,Sticky Wolfthroat
154,Rusty Goldhammer
158,Flanking Blackfinch
159,Hurracurra Bird
165,Sticky Wolfthroat
166,Red Firefinch
168,Sticky Wolfthroat
170,Rusty Goldhammer
183,Hurracurra Bird
184,Sticky Wolfthroat
186,Rusty Goldhammer
194,Red Firefinch
202,Rusty Goldhammer
204,Red Firefinch
212,Flanking Blackfinch
213,Flanking Blackfinch
220,Sticky Wolfthroat
221,Flanking Blackfinch
225,Rusty Goldhammer
236,Red Firefinch
238,Hurracurra Bird
241,Rusty Goldhammer
244,Flanking Blackfinch
248,Medieval Bluetit
250,Medieval Bluetit
251,Flanking Blackfinch
259,Red Firefinch
261,Rusty Goldhammer
265,Medieval Bluetit
269,Hurracurra Bird
270,Medieval Bluetit
284,Medieval Bluetit
286,Medieval Bluetit
289,Rusty Goldhammer
293,Flanking Blackfinch
298,Sticky Wolfthroat
302,Sticky Wolfthroat
308,Red Firefinch
311,Flanking Blackfinch
336,Flanking Blackfinch
339,Red Firefinch
350,Red Firefinch
352,Hurracurra Bird
353,Medieval Bluetit
354,Sticky Wolfthroat
356,Sticky Wolfthroat
