Day,Top 50 Arrivals BOPs
731,2360 1450 1378 697 516 1369 2165 698 1722 381 2402 429 721 2241 1431 1832 1199 1214 2236 416 2277 575 914 681 2020 899 816 2029 2292 726 1534 1743 1417 535 808 614 725 348 1647 1470 13 1144 103 272 1758 2008 863 1768 61 533
732,2360 1450 1378 697 516 1369 2165 698 381 1722 2241 721 429 2402 1431 1199 1832 1214 2236 416 575 2277 914 899 816 2029 2020 681 1534 2292 726 1743 535 1417 808 614 348 725 1470 13 1144 1647 103 1758 272 1768 2008 863 533 255
733,2360 1378 1450 697 516 1369 2165 698 381 1722 2241 721 1431 1199 429 2402 1832 1214 2236 416 914 575 2029 2277 899 816 1534 2292 2020 726 681 535 1743 808 614 348 1417 725 1470 1144 103 13 1647 1758 2008 272 1768 863 533 643
734,2360 1378 1450 697 516 1369 2165 698 1722 381 2241 721 1199 429 1431 2402 1832 1214 2236 416 914 2029 575 2277 816 899 726 2292 2020 1534 681 614 808 1743 535 348 725 1417 1470 103 2008 13 1647 1144 1758 272 863 643 1768 255
735,2360 1378 1450 697 516 2165 1369 698 1722 381 721 2241 1199 429 1431 2402 1832 1214 416 2236 914 2029 575 2277 899 816 2020 2292 726 1534 681 1743 808 614 535 725 348 1417 1470 2008 103 13 1647 1144 1758 863 643 272 1768 255
736,2360 1378 1450 697 516 2165 1369 1722 698 381 721 2241 1199 1832 429 1431 2402 1214 416 914 2236 2029 575 2277 899 816 2020 2292 726 1534 1743 808 535 614 681 725 348 2008 1417 1470 103 13 1647 1144 863 1758 643 272 255 1768
737,2360 1378 1450 697 516 2165 1369 1722 698 721 381 2241 1199 1214 2402 1832 1431 429 416 2236 914 575 2029 899 2020 2277 816 2292 726 1534 1743 535 808 614 681 2008 725 348 103 1417 13 1470 863 1647 1144 643 1758 1874 255 272
738,2360 1378 1450 697 516 2165 1369 1722 698 721 381 1199 2241 2402 1214 1431 1832 429 416 2236 914 575 2029 899 2020 2277 816 2292 726 1534 535 1743 808 614 2008 681 348 725 103 13 1417 863 1647 1144 643 1874 1758 1470 255 1695
739,2360 1378 1450 697 516 1369 2165 381 1722 721 698 1199 2241 2402 1214 1431 429 416 1832 575 2236 2029 914 1534 899 2020 816 2292 726 535 2277 1743 808 2008 348 103 614 725 13 681 1417 863 533 643 1874 882 1144 1647 1758 255
740,2360 1450 1378 697 516 1369 2165 381 1722 721 698 1199 2402 1214 2241 429 416 1431 2236 2029 575 1832 914 1534 899 2020 726 2292 816 535 1743 808 2277 2008 103 348 614 725 13 681 863 1417 533 1874 643 882 1647 1144 1695 1342
741,2360 1450 1378 697 1369 2165 516 381 1722 721 698 2402 429 2241 1214 1199 416 1431 2029 2236 575 1832 1534 726 914 899 2020 2292 816 535 103 2008 1743 808 2277 348 614 725 13 681 863 1417 882 1874 643 533 1647 1695 1342 1034
742,2360 1450 1378 1369 2165 697 516 381 1722 721 2402 698 429 2241 1214 416 1199 1431 2029 2236 726 575 1534 1832 899 914 2020 2292 816 103 2008 535 1743 808 2277 348 13 614 725 681 863 882 1874 1417 643 1695 1647 1034 1342 194
743,2360 1450 1378 1369 2165 697 516 381 1722 721 2402 429 2241 1214 698 416 1199 1431 2029 726 2236 1534 575 899 914 2020 1832 2292 816 103 2008 535 1743 808 13 348 725 2277 614 863 681 1874 882 1417 643 70 1695 194 1259 1034
744,2360 1450 1378 697 1369 2165 516 381 1722 721 2402 429 2241 1214 698 416 1199 2029 1431 726 2236 1534 575 2020 914 899 1832 2292 816 2008 103 1743 808 13 535 348 725 614 2277 863 1874 681 882 643 1417 70 1695 1259 194 1342
745,2360 1450 697 1369 2165 516 1378 381 1722 721 2402 429 2241 1214 698 416 1199 2029 1431 726 2236 575 1534 2020 914 899 1832 816 2292 2008 103 1743 13 348 808 535 725 863 614 1874 2277 882 681 643 1417 70 1259 1695 194 1647
746,2360 697 1450 1369 2165 516 1378 381 1722 721 2402 429 2241 1214 416 1199 698 2029 1431 2236 726 2020 575 914 899 1534 816 1832 2292 103 2008 13 1743 863 1874 725 808 348 535 614 2277 882 643 70 1417 681 255 1695 1259 194
747,2360 697 1450 1369 2165 516 1722 721 1378 2402 381 429 1214 2241 416 1199 2029 698 1431 2236 2020 726 914 575 1832 816 899 2008 103 2292 1534 13 1874 1743 614 808 2277 863 725 348 535 1417 643 70 681 882 255 1647 1695 480
748,2360 697 1450 1369 2165 516 1722 721 2402 1378 381 2241 1214 429 416 1199 2029 1431 2020 2236 698 914 1832 575 726 899 816 2008 2292 103 1534 13 808 1743 614 863 1874 2277 725 348 535 1417 643 255 70 681 1647 882 1695 1342
749,2360 697 1450 1369 2165 516 1722 721 2402 1378 2241 1214 429 416 1199 381 2029 1431 2020 2236 698 1832 914 726 2008 816 575 2292 103 899 13 808 1874 863 725 614 2277 1743 1534 643 348 535 1417 255 70 1695 681 1647 1342 1296
750,2360 1450 697 2165 1369 516 1722 721 2402 1214 2241 1378 429 416 1199 2029 1431 2020 381 2236 914 1832 698 2008 726 2292 816 103 575 899 808 13 614 1874 725 2277 863 1743 643 1417 535 348 255 1534 1647 1695 70 1342 1296 1698
751,2360 1450 697 2165 1369 516 1722 721 2402 1214 2241 1378 429 416 1199 2029 2020 1431 2236 1832 914 381 2008 2292 698 816 726 103 575 1874 614 899 13 808 2277 725 863 643 1417 1743 535 1647 348 255 1695 70 1144 1342 1698 1534
752,2360 1450 2165 697 1369 516 1722 721 2402 1214 2241 416 1378 429 2020 2029 1199 1431 914 2236 1832 2008 381 2292 816 103 698 726 1874 575 614 13 808 2277 899 725 863 643 1417 1743 1647 535 1695 348 1144 255 1698 1342 70 1296
